InternalNumber,UniqueID,Name,URLLink,Team,Country,AgeDate,Age,Weight,Height,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,ExcludeFromSalaryCap,ProSalaryInFarm,StarPower,SalaryAverage,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,NHLID,DraftYear,DraftOverallPick,DraftOriginalTeam,Empty5,Jersey,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,SK,DU,EN,SZ,AG,RB,SC,HS,RT,PH,PS,EX,LD,PO,MO,Overall,ProGP,ProSecPlay,ProW,ProL,ProOTL,ProShutout,ProGA,ProSA,ProSARebound,ProPim,ProA,ProPenalityShotsShots,ProPenalityShotsGoals,ProStartGoaler,ProBackupGoaler,ProEmptyNetGoal,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGp,FarmSecPlay,FarmW,FarmL,FarmOTL,FarmShutout,FarmGA,FarmSA,FarmSARebound,FarmPim,FarmA,FarmPenalityShotsShots,FarmPenalityShotsGoals,FarmStartGoaler,FarmBackupGoaler,FarmEmptyNetGoal,FarmStar(1),FarmStar(2),FarmStar(3),FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,Empty6
1,439,Collin Delia,https://www.tsn.ca/nhl/player-bio/collin-delia,13,USA,1994-06-19,26,190,74,1,False,False,False,False,False,True,True,False,False,False,0,950000,950000,0,0,0,0,0,0,0,0,0,,0,100,0,8480420,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,61,66,83,75,61,66,55,64,63,61,30,45,45,62,50,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,41671,9,3,0,2,24,197,0,0,0,0,0,12,2,0,0,0,0,240,1105,1105,
2,465,Ian Scott,,1,ALB,1999-01-11,21,168,77,1,True,False,False,False,False,True,True,False,False,False,0,820000,820000,0,0,0,0,0,0,0,0,0,,0,100,0,,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,55,55,55,55,55,55,55,55,55,55,55,55,55,55,50,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,39898,6,8,0,1,48,444,0,6,0,6,0,14,14,0,1,0,6,420,2475,2475,
3,466,Francois Brassard,,27,QUE,1994-01-31,26,172,73,1,False,False,False,False,False,True,True,False,False,False,0,700000,700000,0,0,0,0,0,0,0,0,0,,0,100,0,,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,51,55,55,55,55,55,55,55,55,55,55,55,55,55,50,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6503,1,0,0,0,5,32,0,0,0,0,0,0,11,0,0,0,0,0,0,0,
4,417,David Rittich,http://www.tsn.ca/nhl/player-bio/david-rittich,13,CZE,1992-08-18,28,202,75,3,False,False,False,False,False,True,True,False,False,False,0,3000000,3000000,3000000,3000000,0,0,0,0,0,0,0,,0,100,0,8479496,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,75,80,77,81,73,78,67,72,77,76,43,58,58,74,50,72,1,3600,0,1,0,0,4,32,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,418,Alex Nedeljkovic,http://www.tsn.ca/nhl/player-bio/alex-nedeljkovic,16,USA,1996-01-07,24,189,72,3,False,False,False,False,False,True,True,False,False,False,0,745000,745000,745000,745000,0,0,0,0,0,0,0,,0,100,0,8477968,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,60,72,90,70,56,66,58,65,63,62,30,44,44,62,50,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,43408,8,3,1,1,23,211,0,0,1,6,2,12,0,0,0,0,0,0,775,775,
6,379,Semyon Varlamov,http://www.tsn.ca/nhl/player-bio/semyon-varlamov,24,RUS,1988-04-26,32,209,74,3,False,False,False,False,False,True,True,False,False,False,0,6000000,6000000,6000000,6000000,0,0,0,0,0,0,0,,0,100,0,8473575,0,0,0,,1,3,3,3,3,3,3,3,3,3,3,81,81,80,80,81,81,73,82,84,81,93,72,74,80,50,78,11,40057,4,5,2,1,31,377,0,0,0,5,2,11,0,1,2,1,0,450,1770,1770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,7,Jonathan Bernier,http://www.tsn.ca/nhl/player-bio/jonathan-bernier,15,QUE,1988-08-07,32,184,72,3,False,False,False,False,True,True,True,False,False,False,0,4500000,4500000,4500000,4500000,0,0,0,0,0,0,0,,0,100,0,8473541,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,77,74,73,67,78,76,65,76,77,77,65,68,69,75,50,72,11,33800,1,9,1,1,35,335,0,2,0,7,2,11,0,0,1,0,1,140,1825,1825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,8,Curtis McElhinney,http://www.tsn.ca/nhl/player-bio/curtis-mcelhinney,16,ONT,1983-05-22,37,200,75,1,False,False,False,False,True,True,True,False,False,False,0,2000000,2000000,0,0,0,0,0,0,0,0,0,,0,100,0,8470147,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,69,57,58,80,74,65,67,69,76,70,71,64,65,69,50,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,9,Matej Tomek,,0,,0001-01-01,2019,0,0,0,False,False,False,False,False,True,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,380,Cam Talbot,http://www.tsn.ca/nhl/player-bio/cam-talbot,10,ONT,1987-07-04,33,196,76,3,False,False,False,False,False,True,True,False,False,False,0,6250000,6250000,6250000,6250000,0,0,0,0,0,0,0,,0,100,0,8475660,0,0,0,,0,3,2,2,2,2,2,2,2,2,2,77,63,63,82,82,72,75,75,82,77,67,66,67,75,50,73,11,40200,5,5,1,0,30,363,0,0,0,8,2,11,0,0,0,0,2,200,1580,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
