Number,Name,URLLink,Team,Country,AgeDate,Weight,Height,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,StarPower,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,SK,DU,EN,SZ,AG,RB,SC,HS,RT,PH,PS,EX,LD,PO,MO,Overall,ProGP,ProSecPlay,ProW,ProL,ProOTL,ProShutout,ProGA,ProSA,ProSARebound,ProPim,ProA,ProPenalityShotsShots,ProPenalityShotsGoals,ProStartGoaler,ProBackupGoaler,ProEmptyNetGoal,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGp,FarmSecPlay,FarmW,FarmL,FarmOTL,FarmShutout,FarmGA,FarmSA,FarmSARebound,FarmPim,FarmA,FarmPenalityShotsShots,FarmPenalityShotsGoals,FarmStartGoaler,FarmBackupGoaler,FarmEmptyNetGoal,FarmStar(1),FarmStar(2),FarmStar(3),FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,ExcludeFromPayroll
439,Collin Delia,https://www.tsn.ca/nhl/player-bio/collin-delia,13,USA,1994-06-19,190,74,2,False,False,False,False,False,True,True,False,0,950000,950000,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,70,70,66,75,76,64,45,67,78,70,45,45,45,67,50,64,1,3072,0,0,0,0,3,42,0,0,0,0,0,0,5,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
465,Ian Scott,,1,ALB,1999-01-11,168,77,2,True,False,False,False,False,True,True,False,0,820000,820000,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,55,55,55,55,55,55,55,55,55,55,55,55,55,55,50,55,1,2358,0,0,0,0,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,0,14,47646,10,2,0,2,38,283,0,0,1,3,0,13,67,0,0,0,0,0,0,1000,False
466,Francois Brassard,,27,QUE,1994-01-31,172,73,2,True,False,False,False,False,True,True,False,0,700000,700000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,51,55,55,55,55,55,55,55,55,55,55,55,55,55,50,54,1,1551,0,0,0,0,1,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,76,258061,40,32,3,3,206,2109,0,2,7,10,4,76,0,0,3,3,4,0,0,9720,False
417,David Rittich,http://www.tsn.ca/nhl/player-bio/david-rittich,13,CZE,1992-08-18,202,75,1,False,False,False,False,False,True,True,False,0,1000000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,79,69,66,81,83,75,66,76,81,79,57,52,52,75,50,72,50,167775,31,14,3,2,107,1393,0,2,1,23,8,49,30,0,6,3,2,140,280,9920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
418,Alex Nedeljkovic,http://www.tsn.ca/nhl/player-bio/alex-nedeljkovic,16,USA,1996-01-07,189,72,1,False,False,False,False,False,True,True,False,0,894167,0,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,67,80,99,70,63,70,64,72,66,66,30,44,44,68,50,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,295432,70,9,3,17,131,1227,0,2,3,23,4,82,0,0,0,1,2,220,220,7200,False
379,Semyon Varlamov,http://www.tsn.ca/nhl/player-bio/semyon-varlamov,24,RUS,1988-04-26,209,74,4,False,False,False,False,True,True,True,False,0,6000000,6000000,6000000,6000000,0,0,0,0,0,0,,3,98,0,3,3,3,3,3,3,3,3,3,3,76,80,79,80,76,75,62,78,79,76,95,70,72,75,50,74,63,215200,21,40,0,1,195,2086,0,2,1,13,1,58,23,2,9,2,3,580,580,8715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
7,Jonathan Bernier,http://www.tsn.ca/nhl/player-bio/jonathan-bernier,6,QUE,1988-08-07,184,72,1,False,False,False,False,False,True,True,False,0,4200000,0,0,0,0,0,0,0,0,0,,17,100,0,3,3,3,3,3,3,3,3,3,3,64,66,66,67,64,64,55,65,73,65,68,66,67,65,50,64,18,56021,3,11,2,0,51,613,0,2,0,2,1,14,52,1,2,0,2,0,0,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,Curtis McElhinney,http://www.tsn.ca/nhl/player-bio/curtis-mcelhinney,30,ONT,1983-05-22,200,75,1,False,False,False,False,False,True,True,False,0,1600000,0,0,0,0,0,0,0,0,0,,37,97,0,3,3,3,3,3,3,3,3,3,3,74,55,56,80,77,72,68,74,82,75,69,63,64,72,50,70,35,123510,23,7,2,1,78,984,0,2,0,30,5,35,34,0,2,4,1,60,700,5875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
9,Matej Tomek,,0,,0001-01-01,0,0,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
380,Cam Talbot,http://www.tsn.ca/nhl/player-bio/cam-talbot,10,ONT,1987-07-04,196,76,4,False,False,False,False,False,True,True,False,0,6250000,6250000,6250000,6250000,0,0,0,0,0,0,,4,98,0,3,2,2,2,2,2,2,2,2,2,70,90,86,80,71,68,54,68,69,70,54,65,66,62,50,69,53,191840,25,24,4,1,177,1792,0,6,1,18,7,53,29,2,4,2,1,1125,1125,7285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
